Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Karl-Johan Johnsson,53,GUI,FRAN,G,37,3279,37,0,0,1,0,1,0,2,0,2,0,0,0,1,0,0,3,2,1,0,0,1,1,2,6,533,972,0,8,318,0,13,1,1,0,0,0,0,0,0,0,0,0,0,1317,1,54,3,220,0,19,0,446,224,0,0,0,0,0,0,0,0,1,0,0,0,51,8,94,52,41,11,1,10,2,33,33,24,312,0,0,0,0,0,0
Craig Dawson,51,WBA,EPL,D,37,3278,37,0,2,10,0,0,4,0,0,0,0,21,8,60,86,13,21,0,20,1,29,57,46,53,37,642,1013,13,132,148,14,235,0,2,18,7,3,3,1,1,0,0,16,0,1920,47,183,189,342,15,104,1,595,124,0,0,0,0,0,0,0,0,21,0,0,0,50,6,0,0,0,0,0,0,0,149,146,0,73,0,0,2,1,3,24
Darren Flet33r,51,WBA,EPL,M,38,3235,37,1,5,0,0,0,2,3,1,1,2,20,7,44,30,5,24,3,20,1,2,41,26,22,23,940,1225,3,18,205,27,108,2,1,11,4,2,9,3,0,0,0,40,0,1609,29,282,134,570,4,78,0,408,119,0,0,0,0,0,0,5,4,7,0,0,0,45,6,0,0,0,0,0,0,0,36,36,0,103,3,0,1,1,1,32
Stephen Ward,55,BRN,EPL,D,37,3232,37,0,3,5,0,0,1,1,0,1,0,7,1,74,111,26,22,3,21,0,16,69,47,35,56,775,1132,25,63,177,15,194,1,0,5,1,1,2,0,0,0,0,18,0,2116,12,180,149,411,28,153,0,589,117,0,0,0,0,1,1,0,0,10,0,0,0,53,8,0,0,0,0,0,0,0,149,138,0,112,0,0,0,0,1,23
Etienne Capoue,68,WAT,EPL,M,37,3212,37,0,10,5,0,0,7,1,0,1,0,50,19,61,78,32,37,0,17,19,7,60,42,51,46,1226,1480,13,33,177,34,172,1,1,24,14,7,26,5,0,0,0,37,0,2056,53,313,195,726,6,115,0,424,104,0,0,0,0,16,4,37,32,7,1,0,0,60,6,0,0,0,0,0,0,0,27,26,0,89,0,0,1,3,2,65
Duvan Zap41,56,UDI,SERI,F,38,3153,37,1,12,3,0,0,10,3,0,3,0,79,35,11,47,7,37,6,34,0,8,10,7,53,73,377,538,7,66,68,39,185,0,0,68,33,10,11,2,0,0,1,90,0,1192,164,154,262,258,1,44,0,463,5,1,1,0,0,0,0,0,0,35,0,0,0,52,4,0,0,0,0,0,0,0,57,55,0,7,0,0,13,13,8,68
Jose Maria Callejon,39,NAP,SERI,F/M,37,3149,37,0,7,3,0,1,14,12,2,10,2,86,34,29,173,38,76,9,59,5,0,42,32,32,66,1324,1550,23,22,158,12,138,0,0,66,26,14,20,8,0,0,1,24,0,2167,172,484,132,954,9,199,0,445,31,0,0,0,0,0,0,100,74,40,4,2,0,36,8,0,0,0,0,2,0,0,27,26,0,49,1,0,14,10,10,21
Papu Gomez,41,ATA,SERI,F/M,37,3136,37,0,19,6,0,0,16,10,3,5,5,117,51,27,360,99,91,16,51,30,0,26,21,36,109,984,1221,52,3,165,84,222,0,0,58,31,13,59,20,3,0,2,70,0,2262,140,537,201,846,1,417,0,717,37,2,2,0,0,26,8,168,134,57,6,1,0,38,5,0,0,0,0,0,0,0,7,7,0,62,1,0,27,5,9,137
Marek Hamsik,39,NAP,SERI,M,38,3050,37,1,19,1,0,0,12,10,3,9,1,88,32,15,35,8,77,10,67,0,4,35,28,15,31,2726,3083,8,31,208,42,135,1,2,42,19,11,46,13,1,0,1,42,0,3552,95,850,120,1770,6,137,0,501,202,0,0,0,0,0,0,1,0,27,0,0,0,33,5,0,0,0,0,0,0,0,25,23,0,191,9,0,3,4,6,62
Gary Cahill,33,CHE,EPL,D,37,3296,36,1,1,5,0,0,6,0,0,0,0,24,10,46,1,0,5,0,5,0,20,53,40,34,24,1634,1849,0,91,136,4,168,2,0,20,8,6,4,2,0,0,0,8,1,2273,41,178,103,545,7,6,2,259,236,0,0,0,0,0,0,0,0,3,0,0,0,29,15,0,0,0,0,1,0,0,167,158,0,112,1,0,2,0,4,10
