Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Jakub Jankto,SAM,SERI,M,35,2419,29,6,18,6,0,0,6,3,0,3,0,39,11,24,81,14,34,2,24,7,1,28,17,18,28,589,805,9,10,141,10,75,0,0,25,9,5,14,2,1,0,0,34,0,1242,83,194,106,356,6,105,0,392,30,0,0,0,0,3,0,14,13,19,0,0,0,39,3,0,0,0,0,1,0,0,28,28,0,26,2,0,7,4,4,26
Milan Badelj,GEN,SERI,M,30,2415,29,1,8,7,0,0,1,4,0,4,0,17,4,87,15,2,29,6,23,2,10,56,27,34,32,1290,1572,2,17,228,36,140,0,1,2,0,0,15,4,1,0,1,22,0,2042,14,269,136,637,3,80,0,365,155,0,0,0,0,3,0,2,2,4,0,0,0,35,5,0,0,0,0,0,0,0,42,42,0,125,1,0,1,1,0,46
Angel Correa,ATM,LIGA,F/M,38,2410,29,9,26,3,0,0,9,8,0,8,0,52,23,22,35,6,38,11,29,1,1,38,21,37,30,684,855,5,11,118,53,131,0,0,36,19,8,16,4,1,0,0,57,0,1365,160,302,193,476,4,66,0,386,15,0,0,0,0,0,0,9,5,22,0,0,0,14,0,0,0,0,0,0,0,0,12,12,0,18,1,0,13,9,5,90
Duvan Zapata,ATA,SERI,F,37,2396,29,8,26,0,0,0,15,9,0,9,0,99,39,6,48,6,42,9,33,0,5,12,5,29,49,605,761,6,48,69,34,143,0,0,88,35,15,11,4,0,0,0,65,0,1364,236,344,202,467,0,60,0,444,5,1,1,0,0,0,0,0,0,35,0,0,0,33,2,0,0,0,0,0,0,0,19,19,0,11,0,0,21,21,11,85
Jerome Boateng,FCB,BUND,D,29,2378,29,0,11,6,0,0,1,1,0,1,0,9,3,40,18,2,5,2,4,0,17,26,16,23,10,1765,1997,2,42,157,5,83,1,0,6,2,1,3,1,0,0,0,1,0,2242,13,218,61,709,1,61,0,262,323,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,62,62,0,162,1,0,1,0,0,6
Jonathan David,LIL,FRAN,F,37,2365,29,8,22,0,0,0,13,2,0,2,0,55,33,3,8,2,35,3,32,1,1,17,10,33,43,435,562,2,16,75,24,99,0,0,46,31,13,9,2,0,2,2,47,0,950,130,207,182,352,2,28,0,291,9,0,0,0,0,0,0,0,0,9,0,0,0,12,4,0,0,0,0,0,0,0,7,7,0,2,0,0,5,7,11,47
Gaetano Castrovilli,FIO,SERI,M,34,2346,29,5,20,8,0,1,5,3,2,2,1,32,13,34,36,10,18,3,15,0,2,33,19,41,63,555,707,10,13,136,30,139,0,0,19,10,5,13,3,0,0,0,51,0,1218,60,242,196,399,1,70,0,348,38,0,0,0,0,3,0,5,5,14,0,0,0,39,3,0,0,0,0,1,0,0,13,13,0,41,0,0,1,1,2,65
Bertrand Traore,AVL,EPL,M,36,2333,29,7,24,1,0,0,7,6,0,5,1,64,23,15,102,23,35,6,20,9,1,26,10,31,40,544,700,6,32,119,52,150,0,1,46,16,6,18,7,1,0,1,26,0,1245,113,205,152,362,2,126,0,393,28,0,0,0,0,27,7,42,34,19,2,0,0,31,3,0,0,0,0,0,0,0,12,12,0,42,2,0,7,4,3,97
Alvaro Negredo,CAD,LIGA,F,35,2215,29,6,25,3,1,1,8,4,0,4,0,48,21,3,10,0,20,7,16,0,2,11,5,21,37,321,560,0,130,43,29,203,0,0,37,18,8,11,3,0,0,0,21,0,885,74,115,188,194,0,40,1,354,13,0,0,0,0,0,0,0,0,7,2,0,0,41,0,0,0,0,0,1,0,0,19,19,0,21,2,0,7,8,4,39
Jon Moncayola,OSA,LIGA,M,36,2664,28,8,9,5,1,1,2,0,0,0,0,38,10,23,29,7,18,2,18,0,9,61,36,39,10,923,1130,7,35,205,8,114,0,0,9,3,1,29,7,1,0,0,13,0,1486,22,191,133,458,2,39,0,286,89,0,0,0,0,0,0,0,0,5,0,0,0,39,3,0,0,0,0,1,0,0,36,36,0,108,0,0,0,0,0,15
Adama Traore,WOL,EPL,F/M,37,2642,28,9,3,4,0,0,2,2,0,2,0,43,13,7,150,24,55,6,53,0,1,28,16,47,86,534,700,24,73,104,153,340,1,0,26,8,2,17,5,0,1,1,65,0,1544,111,241,255,421,1,106,0,558,21,0,0,0,0,0,0,0,0,48,0,0,0,41,6,0,0,0,0,0,0,0,11,11,0,15,0,0,7,0,0,216
