Player Name,Team,Goals Conceded by team per season,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,30,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A66,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR43,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
David Simon,LPM,74,LIGA,D,11,718,6,5,1,3,0,0,0,0,0,0,0,3,1,22,29,8,10,1,10,0,4,24,17,17,11,329,406,8,7,41,13,55,0,1,3,1,0,0,0,0,0,0,11,0,668,10,65,59,182,2,35,0,149,23,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,9,9,0,18,1,0,1,0,0,26
Mariusz Stepinski,CHI,59,SERI,F,22,699,6,16,4,1,0,0,5,1,0,1,0,19,8,4,1,0,7,2,6,0,1,9,5,22,14,112,151,0,18,27,4,42,0,0,15,6,4,4,2,1,0,0,15,0,271,32,36,88,77,0,6,1,85,5,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,5,5,0,1,0,0,8,0,2,10
Oscar Melendo,ESP,42,LIGA,F/M,18,680,6,12,6,1,0,0,0,1,0,1,0,8,2,3,7,2,9,0,8,0,0,2,2,6,21,215,257,2,4,38,8,34,0,0,4,2,0,4,0,0,1,0,6,0,341,6,75,33,131,0,13,0,68,8,0,0,0,0,0,0,2,2,3,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,15
Emil Berggreen,M05,52,BUND,F,14,666,6,8,4,2,0,0,4,2,0,2,0,13,8,1,2,0,7,1,5,0,1,2,2,21,5,101,161,0,47,16,1,53,0,0,10,6,4,3,2,0,0,0,12,0,260,34,32,83,81,1,6,0,103,3,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,9,9,0,0,0,0,2,0,3,6
Renato Steffen,WOB,48,BUND,M/D,16,656,6,10,3,3,0,0,0,0,0,0,0,5,1,6,9,0,4,0,4,0,0,10,9,19,15,167,210,0,4,22,6,35,0,0,4,1,0,1,0,0,0,0,7,0,311,11,55,48,98,1,14,0,78,5,0,0,0,0,0,0,0,0,4,0,0,0,12,1,0,0,0,0,1,0,0,3,3,0,11,0,0,0,1,0,10
Dan-Axel Zagadou,BVB,47,BUND,D,11,654,6,5,2,0,0,1,1,0,0,0,0,9,2,16,11,4,2,0,2,0,0,9,8,13,4,364,444,4,40,24,6,59,0,1,7,2,1,2,0,0,0,0,6,0,621,11,71,40,199,2,13,0,112,37,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,18,18,0,20,0,0,0,0,0,7
Christian Clemens,KOE,70,BUND,M,14,639,6,8,5,2,0,0,1,0,0,0,0,17,4,4,38,9,10,3,8,2,0,13,12,13,6,137,186,4,5,30,6,29,0,0,6,3,1,11,1,0,0,0,6,0,333,14,46,51,91,3,43,0,112,13,0,0,0,0,1,0,13,12,4,1,0,0,16,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,1,20
Christian Maggio,NAP,29,SERI,D,13,636,6,7,0,0,0,0,0,0,0,0,0,0,0,13,16,4,3,0,3,0,4,17,10,4,15,304,359,4,22,38,1,53,0,0,0,0,0,0,0,0,0,0,4,0,585,6,60,40,162,2,14,0,92,27,0,0,0,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0,0,19,19,0,14,0,1,0,0,0,7
Andre Gomes,BAR,29,LIGA,M,16,629,6,10,4,1,0,0,0,0,1,0,0,7,0,4,3,0,3,0,3,0,1,19,12,16,5,313,351,0,14,39,9,45,0,0,4,0,0,3,0,0,0,0,19,0,474,22,79,62,199,1,7,0,90,27,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,13,0,0,3,1,0,21
Christopher Nkunku,PSG,29,FRAN,F/M,20,621,6,14,4,0,0,0,4,0,0,0,0,20,13,5,10,2,4,2,4,0,2,5,2,11,9,318,346,0,4,31,13,31,0,1,12,9,2,8,4,2,0,0,19,0,477,32,87,50,181,0,17,0,80,14,0,0,0,0,1,0,7,6,7,0,0,0,7,2,0,0,0,0,0,0,0,2,2,0,9,1,0,2,2,2,19
Hernan Toledo,LPM,74,LIGA,M,15,617,6,9,2,2,0,0,0,1,0,1,0,3,1,5,20,2,6,1,5,0,0,5,5,8,10,109,151,2,0,34,26,41,0,0,2,0,0,1,1,0,0,1,12,0,291,24,46,55,82,1,17,0,116,7,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,0,0,4,4,0,2,0,0,3,0,0,48
Alexander Esswein,BSC,46,BUND,F,16,612,6,10,5,0,0,0,2,1,0,1,0,9,6,9,15,5,5,0,4,0,0,24,15,14,13,160,213,5,10,17,1,47,0,0,6,5,2,3,1,0,0,0,7,0,335,14,57,46,119,2,11,0,89,7,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,9,9,0,9,0,0,7,0,0,5
O38ier Giroud,CHE,38,EPL,F,13,610,6,7,4,0,0,0,3,1,0,1,0,30,9,1,0,0,13,4,12,0,0,4,3,6,7,154,239,0,46,15,2,59,0,0,28,9,3,2,0,0,0,0,9,0,340,64,83,45,109,0,18,0,122,2,0,0,0,0,0,0,0,0,8,0,0,0,7,1,0,0,0,0,0,0,0,5,5,0,4,1,0,3,6,0,7
Tito,LGN,51,LIGA,D,9,607,6,3,0,0,0,0,0,0,0,0,0,1,0,12,15,4,1,1,0,0,5,8,5,8,6,163,221,4,6,30,1,20,0,0,1,0,0,0,0,0,0,0,1,0,371,3,31,27,71,1,21,0,88,20,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,15,15,0,9,0,0,0,0,0,3
Marco Richter,FCA,46,BUND,M,12,598,6,6,5,0,0,0,1,0,0,0,0,12,3,1,9,4,8,3,8,0,1,17,14,17,21,107,147,4,8,32,8,53,0,0,7,3,1,5,0,0,0,0,13,0,279,13,44,56,79,1,20,1,88,7,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,7,7,0,8,1,0,1,1,0,15
Tin Jedvaj,LEV,44,BUND,D,10,598,6,4,2,1,0,0,0,0,0,0,0,5,1,9,9,2,2,0,2,0,1,10,6,7,6,257,324,2,13,29,3,31,0,0,3,0,0,2,1,0,0,0,3,0,439,5,60,32,109,2,15,0,88,35,0,0,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,16,16,0,24,0,0,1,0,0,5
Mathieu Michel,SCO,52,FRAN,G,7,597,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,155,0,2,59,0,3,0,1,0,0,0,0,0,0,0,0,0,0,212,0,4,1,25,0,2,0,75,26,0,0,0,0,0,0,0,0,0,0,0,0,13,1,14,9,5,0,0,2,0,1,1,1,45,0,0,0,0,0,0
Marco Friedl,SVW,40,BUND,M/D,9,597,6,3,1,0,0,0,0,0,0,0,0,5,1,8,12,2,3,1,3,0,1,9,8,5,8,222,284,2,10,28,5,30,0,1,1,1,0,4,0,0,0,0,9,0,462,3,43,30,97,4,12,0,104,37,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,14,14,0,20,0,0,0,1,0,12
Riechedly Bazoer,WOB,48,BUND,M,13,590,6,7,4,2,0,0,0,0,0,0,0,7,2,9,3,2,3,0,3,0,1,9,8,11,13,208,246,2,4,21,3,27,1,1,0,0,0,7,2,0,0,0,5,0,318,2,36,29,98,1,5,0,55,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,3,0,21,0,0,2,0,0,5
Bryan Dabo,FIO,46,SERI,M,10,587,6,4,0,1,1,1,1,0,0,0,0,3,1,15,4,0,4,0,4,0,1,17,11,12,8,247,320,0,14,58,14,52,0,1,2,1,1,1,0,0,0,0,10,0,451,6,59,36,132,3,11,0,97,23,0,0,0,0,0,0,0,0,3,0,0,0,11,3,0,0,0,0,0,0,0,21,21,0,6,0,0,0,0,1,14
Isaac Cofie,GEN,43,SERI,M,12,586,6,6,2,1,0,0,0,0,0,0,0,5,0,10,0,0,1,0,1,0,2,13,10,12,7,249,311,0,16,58,4,39,0,0,1,0,0,4,0,0,0,0,4,0,385,2,43,40,120,2,8,0,72,33,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,5,5,0,15,0,0,0,0,0,4
